Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate
16595.0,23333.0,20852.0,6819.0,41.09068996685749
16698.0,25433.0,14906.0,5291.0,31.68642951251647
35161.0,18690.0,12707.0,16019.0,45.5590000284406
24754.0,14041.0,10907.0,14208.0,57.39678435808354
51699.0,19303.0,12558.0,23609.0,45.66626046925472
6796.0,9903.0,10804.0,4145.0,60.99175985874044
99106.0,33624.0,22687.0,29413.0,29.67832421851351
13503.0,32932.0,25107.0,3605.0,26.697770865733542
25.0,-666666666.0,,0.0,0.0
749.0,-666666666.0,8875.0,0.0,0.0
76058.0,26032.0,12924.0,25943.0,34.10949538510084
0.0,-666666666.0,-666666666.0,0.0,
0.0,-666666666.0,-666666666.0,0.0,
8467.0,15434.0,8998.0,3983.0,47.041455060824376
72608.0,29837.0,14360.0,21593.0,29.73914720141031
68452.0,23322.0,12226.0,25233.0,36.862326885993106
40738.0,24438.0,13000.0,15055.0,36.95566792675144
47849.0,29737.0,15979.0,14152.0,29.57637568183243
2454.0,-666666666.0,3972.0,19.0,0.7742461287693562
31017.0,28455.0,16714.0,9469.0,30.528419898765193
19864.0,16135.0,9871.0,10780.0,54.269029399919454
7659.0,15369.0,11228.0,4083.0,53.309831570701135
16169.0,51318.0,36677.0,2938.0,18.170573319314737
3368.0,45811.0,43889.0,498.0,14.78622327790974
43216.0,51604.0,27897.0,7746.0,17.923917067752683
27449.0,20604.0,14718.0,10330.0,37.63342926882582
60134.0,30801.0,16208.0,18527.0,30.80952539328832
15203.0,34284.0,29494.0,2727.0,17.937249227126227
14514.0,25935.0,14037.0,5287.0,36.42689816728676
36687.0,27149.0,13585.0,11804.0,32.17488483659062
32750.0,24834.0,13531.0,10466.0,31.957251908396948
58583.0,32967.0,16557.0,14378.0,24.542956147687896
17537.0,57694.0,33135.0,1557.0,8.878371443234304
30280.0,52379.0,27657.0,7851.0,25.928005284015853
11131.0,2499.0,4370.0,57.0,0.5120833707663283
5014.0,70325.0,35334.0,307.0,6.122856003191065
14906.0,86165.0,39308.0,855.0,5.735945256943513
1272.0,62750.0,33933.0,89.0,6.99685534591195
384.0,59440.0,26043.0,171.0,44.53125
3724.0,86523.0,39077.0,156.0,4.189044038668099
1507.0,75263.0,30903.0,102.0,6.768414067684141
531.0,70114.0,37778.0,60.0,11.299435028248588
23026.0,39868.0,21738.0,4151.0,18.02744723356206
30148.0,58780.0,30076.0,3173.0,10.524744593339525
2604.0,43349.0,25748.0,615.0,23.617511520737327
958.0,51442.0,30925.0,45.0,4.697286012526096
17870.0,63699.0,34386.0,1773.0,9.921656407386681
16156.0,85221.0,38320.0,708.0,4.382272839811835
728.0,50750.0,31970.0,102.0,14.010989010989011
11211.0,71716.0,33551.0,1057.0,9.428240121309429
1151.0,41875.0,27940.0,199.0,17.28931364031277
551.0,78011.0,37424.0,12.0,2.1778584392014517
6300.0,89965.0,40222.0,324.0,5.142857142857143
2313.0,87045.0,36015.0,186.0,8.041504539559014
5301.0,58953.0,41575.0,280.0,5.282022259950953
5193.0,81304.0,39634.0,206.0,3.966878490275371
772.0,92750.0,31356.0,93.0,12.046632124352332
2897.0,67096.0,39453.0,112.0,3.8660683465654127
1129.0,80000.0,49565.0,85.0,7.528786536758193
40362.0,37954.0,22625.0,11228.0,27.818244883801597
2334.0,68869.0,31233.0,165.0,7.069408740359897
1658.0,62222.0,31413.0,309.0,18.636911942098916
1997.0,87174.0,46486.0,120.0,6.009013520280421
21331.0,67715.0,33247.0,1195.0,5.602175237916647
8801.0,78986.0,35989.0,501.0,5.692534939211453
15729.0,57485.0,36152.0,1962.0,12.473774556551593
10587.0,73438.0,38373.0,1485.0,14.026636440918107
574.0,-666666666.0,3532.0,0.0,0.0
9.0,-666666666.0,,0.0,0.0
1849.0,85938.0,35289.0,70.0,3.785830178474851
8919.0,59211.0,32833.0,632.0,7.085996187913443
637.0,57000.0,30342.0,51.0,8.006279434850864
1206.0,67132.0,32683.0,54.0,4.477611940298507
1490.0,72000.0,36574.0,182.0,12.21476510067114
6090.0,89423.0,44641.0,278.0,4.564860426929393
477.0,61603.0,18494.0,0.0,0.0
17755.0,66681.0,32046.0,1602.0,9.022810475922276
9711.0,76737.0,38002.0,697.0,7.17742765935537
480.0,27105.0,31721.0,55.0,11.458333333333334
2532.0,49844.0,23355.0,846.0,33.41232227488152
1827.0,50465.0,26913.0,94.0,5.145046524356869
10637.0,51768.0,27830.0,1429.0,13.434238977155212
3182.0,65547.0,24012.0,290.0,9.113764927718416
183.0,90625.0,43879.0,0.0,0.0
41652.0,62423.0,29630.0,3252.0,7.807548256986459
683.0,-666666666.0,2892.0,0.0,0.0
399.0,51406.0,32106.0,32.0,8.020050125313283
28671.0,51735.0,29344.0,3453.0,12.043528303861045
1133.0,75799.0,33033.0,172.0,15.180935569285085
348.0,103750.0,54538.0,21.0,6.0344827586206895
327.0,21250.0,32228.0,29.0,8.868501529051988
14659.0,104128.0,45406.0,573.0,3.9088614503035677
2607.0,77083.0,36844.0,214.0,8.20866896816264
54.0,-666666666.0,9161.0,40.0,74.07407407407408
1186.0,76563.0,43006.0,87.0,7.335581787521079
2409.0,16720.0,21340.0,1337.0,55.50020755500208
23635.0,30053.0,19687.0,6815.0,28.834355828220858
11601.0,17569.0,15259.0,6021.0,51.90069821567106
16048.0,111231.0,55504.0,576.0,3.5892323030907276
11304.0,26772.0,15178.0,4784.0,42.32130219391366
28925.0,38499.0,18875.0,8877.0,30.68971477960242
30125.0,35191.0,15703.0,8071.0,26.79170124481328
14774.0,61112.0,29498.0,2145.0,14.518749153919048
13236.0,47439.0,22681.0,2107.0,15.918706557872468
2798.0,65977.0,35083.0,55.0,1.9656897784131522
6750.0,63895.0,30597.0,699.0,10.355555555555556
8884.0,40360.0,18717.0,1936.0,21.79198559207564
0.0,-666666666.0,-666666666.0,0.0,
44775.0,47614.0,30286.0,6415.0,14.32719151312116
8211.0,49777.0,28827.0,910.0,11.082693947144074
818.0,74583.0,39128.0,36.0,4.400977995110025
2351.0,77857.0,39393.0,141.0,5.997447894512973
209.0,38446.0,22355.0,21.0,10.047846889952153
3169.0,61512.0,33984.0,126.0,3.9760176711896498
6839.0,61063.0,34994.0,678.0,9.91373007749671
86.0,29000.0,18577.0,5.0,5.813953488372093
8359.0,65214.0,37450.0,406.0,4.857040315827252
2671.0,63000.0,35609.0,208.0,7.787345563459379
1197.0,57014.0,32948.0,24.0,2.0050125313283207
2662.0,84615.0,33634.0,151.0,5.672426746806912
5917.0,67708.0,33536.0,452.0,7.639006253168835
4493.0,68948.0,53659.0,163.0,3.6278655686623638
475.0,81172.0,29336.0,4.0,0.8421052631578947
333.0,71979.0,51112.0,25.0,7.5075075075075075
108.0,55556.0,41983.0,10.0,9.25925925925926
803.0,69821.0,49853.0,73.0,9.090909090909092
15703.0,40928.0,24982.0,2434.0,15.500222887346366
742.0,74554.0,45803.0,39.0,5.256064690026954
977.0,92083.0,67240.0,71.0,7.267144319344934
859.0,68636.0,36882.0,33.0,3.8416763678696157
764.0,55375.0,29340.0,63.0,8.24607329842932
2138.0,59500.0,46014.0,223.0,10.430308699719363
357.0,57917.0,46676.0,28.0,7.8431372549019605
506.0,62727.0,58770.0,26.0,5.138339920948616
447.0,112756.0,28091.0,24.0,5.369127516778524
1110.0,36042.0,38369.0,141.0,12.702702702702704
205.0,80000.0,49908.0,53.0,25.853658536585368
1360.0,74107.0,45261.0,79.0,5.8088235294117645
7853.0,78068.0,33267.0,589.0,7.500318349675283
813.0,80000.0,45778.0,50.0,6.150061500615006
17715.0,48477.0,30169.0,2220.0,12.531752751905165
1468.0,74167.0,41585.0,109.0,7.425068119891008
13281.0,53733.0,27402.0,1789.0,13.470371206987426
2626.0,66085.0,34785.0,238.0,9.063214013709063
170.0,57750.0,24208.0,21.0,12.352941176470589
1472.0,55313.0,29754.0,168.0,11.41304347826087
1642.0,53125.0,29428.0,227.0,13.824604141291108
1743.0,101023.0,51004.0,40.0,2.2948938611589216
1759.0,106146.0,41962.0,157.0,8.925525866969869
46.0,85781.0,38683.0,0.0,0.0
1518.0,70109.0,28889.0,159.0,10.474308300395258
464.0,60208.0,34662.0,32.0,6.896551724137931
126.0,52647.0,27629.0,17.0,13.492063492063492
1231.0,61630.0,26995.0,84.0,6.823720552396425
86.0,31458.0,27507.0,7.0,8.13953488372093
2209.0,82548.0,40829.0,194.0,8.782254413761883
1604.0,69226.0,38346.0,92.0,5.7356608478802995
917.0,70313.0,36789.0,56.0,6.106870229007634
3012.0,69028.0,33657.0,118.0,3.9176626826029217
7819.0,43413.0,23103.0,794.0,10.154751246962528
1218.0,65529.0,35783.0,64.0,5.254515599343185
605.0,55469.0,28197.0,107.0,17.68595041322314
1316.0,72813.0,32809.0,134.0,10.182370820668693
4032.0,54036.0,37400.0,388.0,9.623015873015873
4160.0,74022.0,38682.0,332.0,7.980769230769231
3662.0,54886.0,36664.0,593.0,16.19333697433097
5096.0,43750.0,25887.0,953.0,18.70094191522763
744.0,57885.0,30777.0,43.0,5.779569892473118
836.0,43500.0,28998.0,148.0,17.70334928229665
40666.0,51412.0,24887.0,6961.0,17.1174937294054
6210.0,85064.0,33886.0,290.0,4.669887278582931
3195.0,95833.0,36900.0,248.0,7.762128325508607
7703.0,79750.0,42774.0,940.0,12.203037777489289
1712.0,50547.0,17126.0,165.0,9.63785046728972
3460.0,60156.0,31607.0,164.0,4.7398843930635834
563.0,74142.0,36265.0,17.0,3.019538188277087
20496.0,48915.0,25866.0,3222.0,15.720140515222482
11282.0,123918.0,53410.0,483.0,4.281155823435561
4630.0,143625.0,60666.0,178.0,3.8444924406047516
4581.0,93387.0,38657.0,109.0,2.379393145601397
41446.0,57610.0,30775.0,5511.0,13.296819958500217
9754.0,119177.0,49934.0,370.0,3.793315562846012
11150.0,97775.0,41737.0,912.0,8.179372197309418
12049.0,90029.0,40919.0,674.0,5.593825213710681
7572.0,67541.0,31903.0,625.0,8.254094030639196
511.0,98036.0,42565.0,77.0,15.068493150684931
4124.0,64872.0,38444.0,174.0,4.219204655674103
7454.0,84489.0,39302.0,288.0,3.8636973437080764
7566.0,100071.0,43218.0,117.0,1.5463917525773196
1964.0,84851.0,47724.0,89.0,4.531568228105907
10738.0,64539.0,29400.0,1166.0,10.858632892531197
16412.0,74576.0,38476.0,742.0,4.521082135023153
3098.0,97417.0,48547.0,89.0,2.8728211749515817
9201.0,80260.0,35249.0,365.0,3.9669601130311922
4524.0,97074.0,46148.0,184.0,4.067197170645446
3406.0,64219.0,37864.0,311.0,9.130945390487375
13379.0,93921.0,39167.0,618.0,4.619179310860304
13855.0,68362.0,33410.0,826.0,5.961746661854926
2123.0,80234.0,36927.0,100.0,4.710315591144607
8745.0,94531.0,37825.0,361.0,4.128073184676958
3490.0,58438.0,39866.0,123.0,3.524355300859599
6657.0,106250.0,49307.0,266.0,3.995793901156677
15061.0,99674.0,43270.0,534.0,3.545581302702344
2510.0,78348.0,34752.0,103.0,4.103585657370518
3497.0,104508.0,44718.0,327.0,9.350872176150986
7735.0,104630.0,35322.0,333.0,4.305106658047834
6702.0,64135.0,34311.0,440.0,6.565204416592062
227.0,-666666666.0,25773.0,0.0,0.0
13521.0,74713.0,37951.0,797.0,5.894534427926929
3237.0,90500.0,37644.0,142.0,4.386777880753784
1247.0,84432.0,37371.0,102.0,8.179631114675221
14918.0,111875.0,52500.0,546.0,3.660008043973723
6262.0,89348.0,40700.0,527.0,8.415841584158416
4760.0,73133.0,31764.0,298.0,6.260504201680672
7709.0,105283.0,44374.0,730.0,9.469451290699183
2337.0,74883.0,28911.0,386.0,16.516902011125374
11386.0,68865.0,31306.0,1121.0,9.845424205164237
3438.0,128006.0,59891.0,224.0,6.515415939499709
2299.0,100000.0,39122.0,35.0,1.5224010439321445
8463.0,100962.0,37904.0,190.0,2.2450667611957935
36269.0,101229.0,45803.0,1401.0,3.862802944663487
16858.0,50202.0,25977.0,3085.0,18.299916953375252
4477.0,85390.0,45027.0,336.0,7.505025686843869
243.0,-666666666.0,32123.0,18.0,7.407407407407407
11856.0,65386.0,31155.0,1433.0,12.086707152496626
8000.0,102500.0,43640.0,477.0,5.9625
6006.0,95800.0,44937.0,259.0,4.312354312354312
7706.0,119115.0,48540.0,373.0,4.840384116273034
13864.0,94809.0,35943.0,1136.0,8.193883439122908
16926.0,52107.0,28964.0,1987.0,11.73933593288432
11637.0,64281.0,30057.0,820.0,7.046489645097534
18836.0,107604.0,47993.0,942.0,5.001061796559779
7639.0,73463.0,28418.0,430.0,5.6290090325958895
4661.0,66317.0,35345.0,359.0,7.70220982621755
9864.0,66607.0,32926.0,825.0,8.363746958637469
9297.0,101315.0,43451.0,194.0,2.0866946326772076
24166.0,64808.0,34720.0,2931.0,12.128610444426053
19981.0,42259.0,24635.0,4516.0,22.601471397827936
36772.0,50487.0,26882.0,7219.0,19.631785053845316
28742.0,37703.0,21513.0,7591.0,26.410827360656878
19375.0,65135.0,34908.0,1661.0,8.572903225806451
8698.0,43500.0,24723.0,1439.0,16.544033111060013
3371.0,20578.0,14469.0,1660.0,49.24354790863245
20714.0,42903.0,29357.0,4185.0,20.203726947957904
23438.0,31003.0,16262.0,6373.0,27.190886594419318
2451.0,81830.0,35915.0,133.0,5.426356589147287
4845.0,95595.0,40615.0,203.0,4.189886480908153
32098.0,105940.0,49590.0,1630.0,5.078198018568135
39226.0,52746.0,29266.0,6266.0,15.974098812012441
716.0,160750.0,54472.0,55.0,7.681564245810056
5546.0,101077.0,55857.0,295.0,5.319148936170213
22680.0,133075.0,59129.0,838.0,3.694885361552028
17478.0,120309.0,52647.0,555.0,3.175420528664607
14031.0,125208.0,57969.0,348.0,2.4802223647637374
2012.0,93276.0,27220.0,20.0,0.9940357852882704
5167.0,151618.0,54618.0,72.0,1.393458486549255
5160.0,170703.0,87286.0,83.0,1.6085271317829457
19383.0,137547.0,68083.0,1088.0,5.613166176546458
501.0,123992.0,41878.0,0.0,0.0
